MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
17820,"Colorado Springs, CO",8,Colorado,4103,El Paso County (Central)--Colorado Springs City (Central) PUMA,"645,613","102,746","102,746",15.91,100.00
17820,"Colorado Springs, CO",8,Colorado,4104,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills PUMA,"645,613","108,283","108,283",16.77,100.00
17820,"Colorado Springs, CO",8,Colorado,4105,El Paso County (Central)--Colorado Springs City (South) & Security-Widefield PUMA,"645,613","109,521","109,521",16.96,100.00
17820,"Colorado Springs, CO",8,Colorado,4106,El Paso County (North Central)--Colorado Springs City (North) & Monument Town PUMA,"645,613","106,480","106,480",16.49,100.00
49180,"Winston-Salem, NC",37,North Carolina,300,Rockingham & Stokes Counties PUMA,"640,595","141,044","47,401",7.40,33.61
49180,"Winston-Salem, NC",37,North Carolina,1801,Winston-Salem City (North) PUMA,"640,595","105,140","105,140",16.41,100.00
49180,"Winston-Salem, NC",37,North Carolina,1802,Winston-Salem City (South) PUMA,"640,595","119,268","119,268",18.62,100.00
49180,"Winston-Salem, NC",37,North Carolina,1803,Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village PUMA,"640,595","126,262","126,262",19.71,100.00
49180,"Winston-Salem, NC",37,North Carolina,1900,"Davie, Yadkin & Iredell (North) Counties PUMA","640,595","104,643","79,646",12.43,76.11
49180,"Winston-Salem, NC",37,North Carolina,3500,Davidson County PUMA,"640,595","162,878","162,878",25.43,100.00
48620,"Wichita, KS",20,Kansas,1100,South Central Kansas PUMA,"630,919","118,013","31,990",5.07,27.11
48620,"Wichita, KS",20,Kansas,1301,Sedgwick (Northwest) & Harvey Counties--Wichita (Northwest) & Newton Cities PUMA,"630,919","157,515","157,515",24.97,100.00
48620,"Wichita, KS",20,Kansas,1302,Sedgwick (Northeast) & Butler (North & East) Counties--Wichita City (Northeast) PUMA,"630,919","157,319","157,319",24.93,100.00
48620,"Wichita, KS",20,Kansas,1303,Sedgwick County (Central)--Wichita City (Central) PUMA,"630,919","122,883","122,883",19.48,100.00
48620,"Wichita, KS",20,Kansas,1304,Sedgwick (South) & Butler (Southwest) Counties--Wichita (South) & Derby Cities PUMA,"630,919","161,212","161,212",25.55,100.00
44140,"Springfield, MA",25,Massachusetts,200,Franklin & Hampshire (North) Counties PUMA,"621,570","121,746","50,374",8.10,41.38
44140,"Springfield, MA",25,Massachusetts,1600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,"621,570","143,568","143,568",23.10,100.00
44140,"Springfield, MA",25,Massachusetts,1900,Hampden County (Central)--Springfield City PUMA,"621,570","153,060","153,060",24.62,100.00
44140,"Springfield, MA",25,Massachusetts,1901,Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA,"621,570","147,305","147,305",23.70,100.00
44140,"Springfield, MA",25,Massachusetts,1902,Hampden County (East of Springfield City)--Chicopee City PUMA,"621,570","127,263","127,263",20.47,100.00
15980,"Cape Coral-Fort Myers, FL",12,Florida,7101,Lee County (South & West)--Barrier Islands Region PUMA,"618,754","120,296","120,296",19.44,100.00
15980,"Cape Coral-Fort Myers, FL",12,Florida,7102,Lee County (Northwest)--Cape Coral City PUMA,"618,754","158,207","158,207",25.57,100.00
15980,"Cape Coral-Fort Myers, FL",12,Florida,7103,Lee County (Northeast)--Lehigh Acres & North Fort Myers PUMA,"618,754","136,315","136,315",22.03,100.00
15980,"Cape Coral-Fort Myers, FL",12,Florida,7104,Lee County (Central)--Greater Fort Myers City PUMA,"618,754","100,944","100,944",16.31,100.00
15980,"Cape Coral-Fort Myers, FL",12,Florida,7105,Lee County (Southeast)--Bonita Springs City & Estero (East) PUMA,"618,754","102,992","102,992",16.65,100.00
14260,"Boise City, ID",16,Idaho,300,Central Idaho--Lewiston City & Nez Perce Reservation PUMA,"616,561","105,157","7,028",1.14,6.68
14260,"Boise City, ID",16,Idaho,400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA","616,561","105,900","73,079",11.85,69.01
14260,"Boise City, ID",16,Idaho,500,Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA,"616,561","110,936","110,936",17.99,100.00
14260,"Boise City, ID",16,Idaho,600,Canyon (East) & Ada (West) Counties--Nampa (Central & East) & Meridian (West) Cities PUMA,"616,561","112,509","112,509",18.25,100.00
14260,"Boise City, ID",16,Idaho,701,Ada County (Central)--Meridian (Northeast) & Boise (Far West) Cities PUMA,"616,561","105,357","105,357",17.09,100.00
14260,"Boise City, ID",16,Idaho,702,Ada County (Northeast)--Boise (North & West) & Garden City Cities PUMA,"616,561","100,664","100,664",16.33,100.00
14260,"Boise City, ID",16,Idaho,800,Ada County (South)--Boise (South) & Kuna Cities PUMA,"616,561","106,988","106,988",17.35,100.00
45780,"Toledo, OH",39,Ohio,200,"Wood (South), Fulton & Lucas (Southwest) Counties--Bowling Green City PUMA","610,001","113,113","113,113",18.54,100.00
45780,"Toledo, OH",39,Ohio,300,"Lucas (West) & Wood (North Central) Counties--Perrysburg, Sylvania & Maumee Cities PUMA","610,001","152,558","152,558",25.01,100.00
45780,"Toledo, OH",39,Ohio,400,Toledo City (West) PUMA,"610,001","133,507","133,507",21.89,100.00
45780,"Toledo, OH",39,Ohio,500,Toledo City (East) PUMA,"610,001","146,764","146,764",24.06,100.00
45780,"Toledo, OH",39,Ohio,600,"Ottawa, Wood (Northeast) & Lucas (East) Counties--Oregon City PUMA","610,001","105,487","64,059",10.50,60.73
