occ_code,occ_name,occ_cat_name
8140,"Welding, Soldering, and Brazing Workers",Production Occupations
8150,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8200,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8210,"Tool Grinders, Filers, and Sharpeners",Production Occupations
8220,"Metal workers and plastic workers, nec",Production Occupations
8230,"Bookbinders, Printing Machine Operators, and Job Printers",Production Occupations
8250,Prepress Technicians and Workers,Production Occupations
8300,Laundry and Dry-Cleaning Workers,Production Occupations
8310,"Pressers, Textile, Garment, and Related Materials",Production Occupations
8320,Sewing Machine Operators,Production Occupations
8330,Shoe and Leather Workers and Repairers,Production Occupations
8340,Shoe Machine Operators and Tenders,Production Occupations
8350,"Tailors, Dressmakers, and Sewers",Production Occupations
8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",Production Occupations
8410,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production Occupations
8420,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production Occupations
8450,Upholsterers,Production Occupations
8460,"Textile, Apparel, and Furnishings workers, nec",Production Occupations
8500,Cabinetmakers and Bench Carpenters,Production Occupations
8510,Furniture Finishers,Production Occupations
8530,"Sawing Machine Setters, Operators, and Tenders, Wood",Production Occupations
8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production Occupations
8550,"Woodworkers including model makers and patternmakers, nec",Production Occupations
8600,"Power Plant Operators, Distributors, and Dispatchers",Production Occupations
8610,Stationary Engineers and Boiler Operators,Production Occupations
8620,Water Wastewater Treatment Plant and System Operators,Production Occupations
8630,"Plant and System Operators, nec",Production Occupations
8640,"Chemical Processing Machine Setters, Operators, and Tenders",Production Occupations
8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",Production Occupations
8710,Cutting Workers,Production Occupations
8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production Occupations
8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production Occupations
8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production Occupations
8750,Jewelers and Precious Stone and Metal Workers,Production Occupations
8760,"Medical, Dental, and Ophthalmic Laboratory Technicians",Production Occupations
8800,Packaging and Filling Machine Operators and Tenders,Production Occupations
8810,Painting Workers and Dyers,Production Occupations
8830,Photographic Process Workers and Processing Machine Operators,Production Occupations
8850,Adhesive Bonding Machine Operators and Tenders,Production Occupations
8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production Occupations
8910,"Etchers, Engravers, and Lithographers",Production Occupations
8920,"Molders, Shapers, and Casters, Except Metal and Plastic",Production Occupations
8930,"Paper Goods Machine Setters, Operators, and Tenders",Production Occupations
8940,Tire Builders,Production Occupations
8950,Helpers--Production Workers,Production Occupations
